"Sorting.Number" "Order" "Taxon..Dyntaxa.2017." "Taxon.in.Gärdenfors.et.al...2003." "Linné..1761." "Wahlgren...Tullgren..1922." "Gärdenfors.et.al...2003." "Corrected.values.2003" "Dyntaxa.2017" "Corrected.values.2017" "Sweden.estimated.total" "New.species.to.science.since.2003" "Estimate.minus.known.2003" "Estimate.minus.known.2017" "Main.feeding.niche" "Main.feeding.habitat" "Expert.estimate"
"140" 18 "Hemiptera" "Ulopidae" "Cicadellidae (pars)" 0 1 1 1 1 1 1 0 0 0 "Phytophagous" "Plants" "Carl-Cedric Coulianos"
"141" 19 "Hemiptera" "Acanthosomatidae" "Acanthosomatidae" 3 6 8 8 8 8 8 0 0 0 "Phytophagous" "Plants" "Carl-Cedric Coulianos"
"142" 19 "Hemiptera" "Alydidae" "Alydidae" 1 1 1 1 1 1 1 0 0 0 "Phytophagous" "Plants" "Carl-Cedric Coulianos"
"143" 19 "Hemiptera" "Anthocoridae" "Anthocoridae" 2 21 32 32 35 35 36 0 4 1 "Predator" "Plants" "Carl-Cedric Coulianos"
"144" 19 "Hemiptera" "Aphelocheiridae" "Aphelocheiridae" 0 0 1 1 1 1 1 0 0 0 "Predator" "Water" "Carl-Cedric Coulianos"
"145" 19 "Hemiptera" "Aradidae" "Aradidae" 2 18 22 21 21 21 22 0 1 1 "Saprophagous" "Wood" "Carl-Cedric Coulianos"
"146" 19 "Hemiptera" "Artheneidae" "Lygaeidae (pars)" 0 1 1 1 1 1 1 0 0 0 "Phytophagous" "Plants" "Carl-Cedric Coulianos"
"147" 19 "Hemiptera" "Berytidae" "Berytidae" 1 8 8 8 8 8 8 0 0 0 "Phytophagous" "Plants" "Carl-Cedric Coulianos"
"148" 19 "Hemiptera" "Blissidae" "Lygaeidae (pars)" 0 1 2 2 2 2 2 0 0 0 "Phytophagous" "Plants" "Carl-Cedric Coulianos"
"149" 19 "Hemiptera" "Ceratocombidae" "Ceratocombidae" 0 0 2 2 2 2 2 0 0 0 "Phytophagous" "Plants" "Carl-Cedric Coulianos"
"150" 19 "Hemiptera" "Cimicidae" "Cimicidae" 1 4 4 4 4 4 4 0 0 0 "Parasite" "Homeothermic animals" "Carl-Cedric Coulianos"
"151" 19 "Hemiptera" "Coreidae" "Coreidae" 1 9 10 10 11 11 11 0 1 0 "Phytophagous" "Plants" "Carl-Cedric Coulianos"
"152" 19 "Hemiptera" "Corixidae" "Corixidae" 2 30 35 35 35 35 36 0 1 1 "Saprophagous" "Water" "Carl-Cedric Coulianos"
"153" 19 "Hemiptera" "Cydnidae" "Cydnidae" 3 7 9 8 8 8 8 0 0 0 "Phytophagous" "Soil" "Carl-Cedric Coulianos"
"154" 19 "Hemiptera" "Cymidae" "Lygaeidae (pars)" 1 2 3 3 4 4 4 0 1 0 "Phytophagous" "Plants" "Carl-Cedric Coulianos"
