TaxonId;Understam;Ordning;Familj;Art;Vetenskapligt namn;Auktor;Grupp i 2003-rekonstruktion;Status 2003;URL till taxoninformation;Svensk frekomst
251360;;;;Aclista bispinosa;Aclista bispinosa;Wall, 1967;;;https://www.dyntaxa.se/taxon/info/251360;Bofast och reproducerande
251362;;;;Aclista bitens;Aclista bitens;(Kieffer, 1909);;;https://www.dyntaxa.se/taxon/info/251362;Bofast och reproducerande
251363;;;;Aclista boops;Aclista boops;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251363;Bofast och reproducerande
251364;;;;Aclista cantiana;Aclista cantiana;(Curtis, 1831);;;https://www.dyntaxa.se/taxon/info/251364;Bofast och reproducerande
251365;;;;Aclista clito;Aclista clito;Nixon, 1957;;;https://www.dyntaxa.se/taxon/info/251365;Bofast och reproducerande
251366;;;;Aclista crassistilus;Aclista crassistilus;(Kieffer, 1909);;;https://www.dyntaxa.se/taxon/info/251366;Bofast och reproducerande
251367;;;;Aclista dubia;Aclista dubia;(Kieffer, 1909);;;https://www.dyntaxa.se/taxon/info/251367;Bofast och reproducerande
251368;;;;Aclista elevata;Aclista elevata;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251368;Bofast och reproducerande
251369;;;;Aclista evadne;Aclista evadne;Nixon, 1957;;;https://www.dyntaxa.se/taxon/info/251369;Bofast och reproducerande
251370;;;;Aclista filiformis;Aclista filiformis;(Kieffer, 1910);;;https://www.dyntaxa.se/taxon/info/251370;Bofast och reproducerande
251371;;;;Aclista flavicornis;Aclista flavicornis;(Kieffer, 1909);;;https://www.dyntaxa.se/taxon/info/251371;Bofast och reproducerande
251372;;;;Aclista flavicoxis;Aclista flavicoxis;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251372;Bofast och reproducerande
251373;;;;Aclista folia;Aclista folia;Nixon, 1957;;;https://www.dyntaxa.se/taxon/info/251373;Bofast och reproducerande
251374;;;;Aclista fractinervis;Aclista fractinervis;(Kieffer, 1910);;;https://www.dyntaxa.se/taxon/info/251374;Bofast och reproducerande
251375;;;;Aclista fusca;Aclista fusca;(Kieffer, 1910);;;https://www.dyntaxa.se/taxon/info/251375;Bofast och reproducerande
251376;;;;Aclista fuscinervis;Aclista fuscinervis;(Kieffer, 1909);;;https://www.dyntaxa.se/taxon/info/251376;Bofast och reproducerande
251377;;;;Aclista gracilis;Aclista gracilis;(Kieffer, 1907);;;https://www.dyntaxa.se/taxon/info/251377;Bofast och reproducerande
251378;;;;Aclista haemorrhoidalis;Aclista haemorrhoidalis;(Kieffer, 1910);;;https://www.dyntaxa.se/taxon/info/251378;Bofast och reproducerande
251379;;;;Aclista insolita;Aclista insolita;Nixon, 1957;;;https://www.dyntaxa.se/taxon/info/251379;Bofast och reproducerande
