Taxon;Vials;Specimens;CollID
Opetiidae;1;3;1329
Opomyzidae;1;1;1329
Pallopteridae;0;0;1329
Periscelididae;0;0;1329
Phaeomyiidae;0;0;1329
Phoridae;0;0;1329
Piophilidae;0;0;1329
Pipunculidae;1;33;1329
Platypezidae;0;0;1329
Platystomatidae;0;0;1329
Pseudopomyzidae;0;0;1329
Psilidae;1;8;1329
Rhagionidae;2;29;1329
Rhinophoridae;1;1;1329
Sarcophagidae;1;9;1329
Scathophagidae;1;17;1329
Scenopinidae;0;0;1329
Sciomyzidae;1;2;1329
Sepsidae;1;6;1329
Sphaeroceridae;1;49;1329
Stenomicridae;0;0;1329
Stratiomyidae;1;15;1329
Strongylophthalmyiidae;0;0;1329
Syrphidae;3;134;1329
Tabanidae;1;3;1329
Tachinidae;1;18;1329
Tanypezidae;0;0;1329
Tephritidae;0;0;1329
Tethinidae;0;0;1329
Therevidae;0;0;1329
Trixoscelididae;1;2;1329
Ulidiidae;0;0;1329
Xylomyidae;0;0;1329
Xylophagidae;1;1;1329
Acarthophthalmidae ;0;0;2096
Acroceridae;0;0;2096
Agromyzidae;1;1;2096
Anthomyiidae;1;7;2096
Anthomyzidae;0;0;2096
Asilidae;0;0;2096
Asteiidae;0;0;2096
Athericidae;0;0;2096
Aulacigasteridae;0;0;2096
Bombyliidae;0;0;2096
Brachystomatidae;0;0;2096
Braulidae;0;0;2096
Calliphoridae;6;126;2096
Camillidae;0;0;2096
Campichoetidae;0;0;2096
Carnidae;0;0;2096
Chamaemyiidae;0;0;2096
Chiropteromyzidae;0;0;2096
Chloropidae;1;9;2096
Chyromyidae;0;0;2096
Clusiidae;0;0;2096
Coelopidae;0;0;2096
Coenomyiidae;0;0;2096
Conopidae;0;0;2096
Diastatidae;1;3;2096
Dolichopodidae;1;4;2096
Drosophilidae;1;1;2096
Dryomyzidae;0;0;2096
Empidoidea;1;4;2096
Ephydridae;1;5;2096
Fanniidae;0;0;2096
Gasterophilidae;0;0;2096
Helcomyzidae;0;0;2096
Heleomyzidae;0;0;2096
Heterocheilidae;0;0;2096
Hippoboscidae;0;0;2096
Hypodermatidae;0;0;2096
Lauxaniidae;0;0;2096
Lonchaeidae;0;0;2096
Lonchopteridae;0;0;2096
Megamerinidae;0;0;2096
Micropezidae;0;0;2096
Milichiidae;0;0;2096
Muscidae;1;7;2096
Nycteribiidae;0;0;2096
